208
AB,259,0,0
BD,242,23,0
AC,240,146,0
AE,275,173,0
AH,242,173,0
AD,325,196,0
AF,207,208,46
FM,334,240,33
CU,229,277,97
AI,304,309,0
CP,204,359,25
BF,178,488,47
AP,231,605,58
AO,150,608,0
BC,329,714,0
AS,187,740,17
HB,261,756,0
CJ,192,895,83
FR,323,941,94
GB,172,1076,14
AJ,259,1086,47
AN,244,1087,0
AM,176,1110,85
AL,320,1235,90
AG,169,1260,16
CL,176,1274,78
CS,295,1470,12
IB,287,1509,0
HL,310,1516,0
BN,329,1736,0
AK,323,1741,0
CO,288,1744,0
ES,204,1772,0
BV,223,1822,0
AY,287,1885,22
ID,205,1933,18
AW,317,2014,108
GN,256,2141,0
BK,341,2257,0
DR,172,2330,0
BL,328,2344,7
AR,178,2366,36
BP,157,2406,19
CB,258,2569,24
AV,304,2731,0
BX,304,2843,0
DN,350,2856,25
BE,154,2968,18
BS,345,2988,36
FA,163,3029,44
DE,310,3056,0
AT,196,3154,41
CK,258,3190,28
CX,329,3190,105
AQ,334,3263,18
EC,189,3450,49
CE,340,3471,159
AU,276,3472,106
CF,164,3586,24
BJ,203,3679,0
BH,225,3771,0
BQ,170,4014,0
AX,290,4072,137
DF,205,4615,0
CN,211,4623,0
EV,171,4644,0
DM,153,4673,71
CZ,278,4921,0
EO,289,5103,38
DP,225,5291,0
HK,220,5437,0
IE,206,5468,0
BU,255,5526,4
GA,175,5742,0
AZ,298,5856,135
EI,171,5907,0
HO,196,6080,0
HA,173,6112,0
CD,283,6185,0
BA,297,6361,0
BY,152,6494,59
HQ,250,6597,102
CQ,291,6610,0
BG,349,6709,0
BM,328,6958,14
EP,313,6994,146
CH,327,7674,81
BI,291,7961,63
EB,339,8022,0
GX,331,8279,0
HE,340,8555,163
DZ,265,8612,0
BT,341,8641,121
CR,211,8820,0
CG,340,9163,0
HN,177,9295,34
BR,153,9325,20
DV,243,9392,53
FI,335,9477,82
DB,159,9506,0
FB,342,9728,0
BO,272,9730,0
FJ,153,9863,19
GO,156,10051,67
DO,266,10279,0
CT,162,10308,0
GZ,291,10423,53
CI,317,10516,98
BW,165,10525,0
EK,252,10771,0
FP,257,10885,56
DH,183,11109,47
EL,231,11220,28
EG,173,11433,60
FC,200,11445,62
CA,228,11622,0
BZ,291,11655,129
HV,191,11783,2
DX,262,12017,96
DA,300,12521,151
DJ,332,12701,0
HI,226,12702,0
EF,207,12721,86
CW,230,12800,17
FH,293,13012,0
CV,222,13046,0
EW,220,13273,0
FQ,239,13747,0
CM,349,13870,8
DI,309,14119,0
FE,328,14312,147
FO,159,14327,0
DT,215,14484,0
GK,245,14675,35
EN,221,14895,0
DS,331,15097,122
GW,261,15136,0
DC,188,15175,0
GM,322,15830,0
CY,339,16501,0
DG,278,16918,115
EY,257,17195,0
GL,318,17334,107
EH,314,17534,28
FD,271,17547,0
IF,218,17935,26
DL,189,18576,13
DU,181,18636,6
ED,190,18682,10
DQ,221,18891,46
GE,320,18999,55
EQ,158,19696,8
FS,154,19788,65
DK,203,20001,0
FK,277,20736,0
EU,214,20830,0
GV,253,20848,0
EA,308,21098,0
FV,283,22008,0
DW,308,22301,0
DY,171,22354,65
HX,180,22466,62
IG,173,22842,60
FU,255,23050,110
HF,311,23469,0
HP,276,23684,0
IC,205,23913,0
EM,329,24290,30
HJ,335,24779,14
ET,155,24858,35
HD,296,25061,0
EJ,251,25172,26
GU,312,25586,0
GR,292,25648,0
GS,307,25776,0
ER,242,25872,61
GJ,315,25939,0
FL,322,26632,134
FG,249,26968,0
HR,155,27115,0
GT,297,28121,0
FY,288,28565,73
EX,226,28631,112
FZ,318,28671,159
GD,312,29104,0
EZ,321,29264,48
FN,312,29447,0
GF,207,29794,15
FW,195,30069,48
HM,178,30089,0
GI,239,30405,117
GH,200,30774,0
IH,340,32492,132
FT,181,32711,53
HZ,190,34193,16
GC,277,35699,0
FX,195,36225,0
GQ,193,37498,31
GY,311,37809,67
GP,339,39318,86
HY,307,39321,0
IA,199,39722,0
HC,157,40507,0
HS,274,41004,0
HU,230,41520,104
HG,211,42763,0
HW,195,43231,0
HT,203,45045,49
