119
AB,72,0,0
AC,131,14,0
BQ,149,47,0
AE,89,63,3
BJ,86,91,43
BK,95,125,0
AY,31,137,6
AD,87,150,43
AJ,70,176,0
DF,84,180,0
CQ,84,209,29
AX,102,233,52
AI,70,255,0
AF,32,335,8
AV,136,356,56
BD,43,364,2
AH,135,366,1
BU,115,383,0
AG,99,393,0
CB,111,409,3
AW,53,431,19
AS,49,442,10
AN,93,458,0
BI,48,458,0
BN,127,492,46
AU,64,508,0
BM,98,566,0
AQ,101,599,0
AL,133,603,64
AK,62,625,0
BE,137,648,0
BX,127,688,0
CF,131,724,15
BV,137,773,11
AR,82,782,0
EP,114,807,0
AP,45,849,20
BA,33,877,2
AZ,143,882,0
AM,148,934,68
AO,55,948,22
CE,121,965,58
AT,36,993,19
BF,110,1062,0
CU,79,1166,0
EN,69,1479,22
BH,60,1512,29
DO,73,1528,0
ED,48,1587,3
BL,99,1634,20
EG,138,1713,0
DM,59,1747,24
BP,103,1803,29
BC,95,1887,0
BT,83,1942,31
CP,99,2036,40
DU,63,2040,0
BO,96,2101,0
BS,63,2212,0
BG,138,2235,0
BW,68,2439,6
DG,41,2456,0
CR,95,2559,0
DS,146,2712,36
CD,105,2905,0
CV,149,2912,0
CK,72,3091,7
DW,141,3166,36
CA,89,3212,43
DC,63,3237,10
BR,37,3325,0
DL,121,3337,0
BZ,106,3469,0
CG,75,3499,0
DB,142,3570,0
CS,38,3636,0
CL,129,3770,24
CI,52,3993,22
BY,95,4093,11
CY,30,4116,0
DQ,101,4186,0
EA,119,4238,0
EO,105,4279,52
DE,126,4318,9
CZ,64,4379,33
EF,86,4437,34
CX,99,4478,0
CH,93,4520,0
CJ,144,4531,0
CT,49,4594,4
DT,126,4949,19
CN,143,4954,37
CO,136,4995,50
DA,59,5030,0
CW,135,5163,36
DV,84,5208,0
CM,67,5242,0
EH,137,5348,0
DJ,75,5416,0
DR,81,5446,0
ET,119,6250,0
EI,147,6463,34
EC,140,6565,71
DH,57,6796,0
DX,33,6822,3
EJ,99,6917,0
DK,135,7152,0
DN,82,7327,0
DI,105,7340,0
DP,35,7523,11
ES,37,7827,8
DY,90,7933,0
EM,149,8302,73
DZ,128,8450,0
EB,99,8864,0
EL,109,9003,20
EK,119,9531,45
ER,122,9815,0
EQ,45,10054,0
