48
AB,37,0,0
AG,32,2,4
AU,31,3,5
AJ,41,35,0
AC,43,37,9
AD,36,40,0
AE,38,50,0
BG,43,50,0
AF,50,76,11
BJ,42,79,8
BU,38,90,1
AX,30,114,0
BA,43,130,0
AI,46,135,0
AH,32,137,0
AK,41,145,0
AN,47,153,0
AR,40,208,17
AS,45,257,0
AV,50,268,0
AM,50,270,0
AO,34,270,0
AL,44,278,20
AQ,38,288,0
BI,38,326,0
BF,37,332,0
BD,41,430,0
BL,37,456,0
BP,33,534,0
BQ,48,543,0
AY,34,558,0
AW,44,564,18
AP,33,566,0
BN,32,571,17
AZ,41,596,0
AT,32,649,9
BE,33,724,5
BC,39,746,0
BM,36,816,9
BH,40,843,0
BW,41,883,0
BS,40,893,0
BK,36,942,10
BT,42,1180,0
BR,33,1221,12
BX,40,1276,4
BO,42,1391,1
BV,46,1651,0
